,dx,co,pe,ou,co_1 All Populations,co_2 HIV Testing Status,value
6214,HTS_TST,f5LmkBnmJ3O,202409,EpiC,Clients of FSW,Negative,6
6217,HTS_TST,TrF7ypCVvDF,202407,EpiC,Clients of FSW,Positive,3
6223,HTS_TST,VXkRK2NOAZE,202408,EpiC,Clients of FSW,Positive,1
6228,HTS_TST,w7mPub5iKHm,202407,EpiC,Clients of FSW,Negative,2
6232,HTS_TST,IIY8CqrT9lc,202409,EpiC,MSM,Negative,71
6241,HTS_TST,KDdRSVdeFGW,202408,EpiC,MSM,Negative,7
6253,HTS_TST,wb0HBy5LxsW,202407,EpiC,Clients of FSW,Positive,10
6276,HTS_TST,FicEBM0EKtf,202407,EpiC,Clients of FSW,Positive,1
6277,HTS_TST,RFp38NjOA3y,202407,EpiC,MSM,Positive,1
6282,HTS_TST,m1ZlpEPcFDy,202409,EpiC,MSM,Negative,54
6283,HTS_TST,LR5UaWYRYXB,202409,EpiC,MSM,Positive,6
6284,HTS_TST,Jzmk4BU48a0,202407,EpiC,MSM,Positive,4
6297,HTS_TST,x5FB6zkUOHy,202408,EpiC,MSM,Positive,2
6299,HTS_TST,eOMdBlEkmQx,202407,EpiC,MSM,Negative,197
6304,HTS_TST,JRq8qlJlRyT,202409,EpiC,Clients of FSW,Negative,27
6315,HTS_TST,oTT0117kKJc,202408,EpiC,Clients of FSW,Negative,9
6317,HTS_TST,DnpGcVc2rFv,202409,EpiC,MSM,Positive,15
6326,HTS_TST,sUkJbjTIucV,202407,EpiC,MSM,Negative,260
