,dx,co,pe,ou,co_1 All Populations,co_2 HIV Testing Status,value
1551,HTS_TST,uJosnVDDY5S,202408,EpiC,Clients of FSW,Positive,1
1552,HTS_TST,u4TxUrvTJ4s,202408,EpiC,MSM,Negative,1074
1586,HTS_TST,pLhsCOzdQvn,202407,EpiC,Clients of FSW,Negative,109
1590,HTS_TST,jKDv5Ns0taU,202407,EpiC,Clients of FSW,Negative,6
1591,HTS_TST,wQ27lnCoNSc,202407,EpiC,MSM,Negative,3
1592,HTS_TST,Px3InhE0Bhv,202409,EpiC,MSM,Positive,20
1596,HTS_TST,sLSIW3BtH28,202409,EpiC,Clients of FSW,Negative,19
1617,HTS_TST,CDpnMSTCzxf,202408,EpiC,MSM,Negative,33
1620,HTS_TST,Nn2Hi8vwpPR,202409,EpiC,MSM,Negative,27
1621,HTS_TST,efmtcRjVekS,202407,EpiC,Clients of FSW,Negative,6
1658,HTS_TST,UCZtyHL8dEu,202408,EpiC,Clients of FSW,Negative,1
1660,HTS_TST,DZchkTHrJnP,202408,EpiC,Clients of FSW,Negative,10
1712,HTS_TST,aeZmo1nuHND,202408,EpiC,MSM,Positive,5
1715,HTS_TST,FOaA4kdJfMm,202408,EpiC,MSM,Negative,127
1735,HTS_TST,m1ZlpEPcFDy,202408,EpiC,MSM,Negative,34
1741,HTS_TST,JZC5NyBYrun,202409,EpiC,Clients of FSW,Positive,10
1750,HTS_TST,SxnUefxZTCY,202407,EpiC,Clients of FSW,Negative,5
1760,HTS_TST,FOaA4kdJfMm,202407,EpiC,MSM,Negative,107
1764,HTS_TST,zpQYaszlfH3,202407,EpiC,MSM,Negative,109
1771,HTS_TST,QhD1Yme08VQ,202407,EpiC,MSM,Positive,3
1812,HTS_TST,zSYjWYbjIIb,202407,EpiC,Clients of FSW,Negative,2
1817,HTS_TST,QmoswycNdCR,202407,EpiC,MSM,Negative,9
1828,HTS_TST,ar40QzNvRqY,202409,EpiC,Clients of FSW,Positive,2
1836,HTS_TST,PSp2Tye9TUR,202409,EpiC,MSM,Negative,5987
1839,HTS_TST,r6lCtITmTV5,202409,EpiC,Clients of FSW,Positive,5
1841,HTS_TST,ouaHRoVbWPs,202409,EpiC,Clients of FSW,Positive,3
1844,HTS_TST,eOr0wUnd5qn,202407,EpiC,MSM,Negative,70
1848,HTS_TST,lkwu9VuiXaP,202409,EpiC,MSM,Positive,12
1850,HTS_TST,QmoswycNdCR,202409,EpiC,MSM,Negative,76
1861,HTS_TST,x6mu9k9otwP,202408,EpiC,MSM,Positive,6
1878,HTS_TST,bhyNf6Uxwci,202408,EpiC,MSM,Negative,15
1895,HTS_TST,r8YRRyumLLd,202407,EpiC,MSM,Positive,10
1902,HTS_TST,zTGh5xvRTll,202408,EpiC,MSM,Negative,35
1903,HTS_TST,IjoZ8ulkWxl,202407,EpiC,MSM,Negative,57
1905,HTS_TST,P0kE3O20UgM,202409,EpiC,Clients of FSW,Negative,41
1907,HTS_TST,DONsmtG41dC,202407,EpiC,MSM,Negative,21
1921,HTS_TST,r8YRRyumLLd,202409,EpiC,MSM,Positive,27
1925,HTS_TST,ahVkBEkFn7E,202407,EpiC,MSM,Negative,32
